Friday,January 01,New Years Day,"Arunachal pradesh, Manipur, Meghalaya, Miizoram, Nagaland, Sikkim, Tamil Nadu, Telangana"
Saturday,January 02,Mannam Jayanthi,Kerala Only
Tuesday,January 12,Birthday of Swami Vivekananda,West Bengal only.
Thursday,January 14,Pongal,"Also known as Makar Sankranti, Lohri, Bihu, Hadaga, Poki"
Friday,January 15,Sankranti,"Andhra Pradesh, Assam, Karnataka, Telangana"
Saturday,January 16,Guru Gobind Singh Jayanti,"Himachal Pradesh, Punjab, Rajasthan. Birthday of the final Sikh prophet-teacher"
Sunday,January 17,Uzhavar Tirunal,"Puducherry, Tamil Nadu only"
Saturday,January 23,Netaji Subhas Chandra Bose Jayanti,"Assam, Odisha, Tripura, West Bengal. Birthday of a prominent leader in the Indian freedom movement"
Monday,January 25,Statehood Day,Himachal Pradesh only
Tuesday,January 26,Republic Day,Commemorates the establishment of the Constitution of India
Thursday,January 28,Birthday of Lala Lajpat Rai,150th year anniversary
Sunday,January 31,Me-dam-me-phi,Assam. Ancestor festival
Tuesday,February 02,Public Holiday,Voting in GHMC elections
Tuesday,February 09,Losar,Sikkim only. Tibetan New Year
Friday,February 12,Vasant Panchami,"Haryana, Odisha, Punjab, Tripura"
Saturday,February 13,Sree Panchami,West Bengal
Friday,February 19,Chhatrapati Shivaji Maharaj Jayanti,Maharashtra only
Monday,February 22,Guru Ravidas Birthday,"Haryana, Himachal Pradesh, Punjab only"
Friday,March 04,Maharshi Dayanand Saraswati Jayanti,Haryana only
Saturday,March 05,Panchayati Raj Diwas,Odisha
Monday,March 07,Maha Shivratri,Celebrated on the 13th night/14th day in the Krishna Paksha
Wednesday,March 09,Solar Eclipse,Odisha
Tuesday,March 22,Bihar Divas,Bihar Only
Wednesday,March 23,Doljatra,Holi Dahan
Thursday,March 24,Holi,
Friday,March 25,Good Friday,Friday before Easter Sunday
Friday,April 01,Odisha Day,Odisha only. Utkal Divas
Tuesday,April 05,Babu Jagjivan Ram Birthday,Telangana only
Friday,April 08,Ugadi,Telugu and Kannada New Year
Wednesday,April 13,Vaisakhi,"Haryana, Punjab only"
Thursday,April 14,Tamil New Year,Puthandu. Tamil Nadu only
Friday,April 15,Ram Navami,Celebrates the birth of Lord Rama to King Dasharatha of Ayodhya
Tuesday,April 19,Mahavir Jayanti,The most important religious holiday in Jainism
Wednesday,April 20,Garia Puja,Tripura only
Thursday,April 21,Hazrat Alis Birthday,Uttar Pradesh only. Son in law of Prophet Muhammad
Sunday,May 01,May Day,Many states
Sunday,May 08,Birthday of Rabindra Nath Tagore,"Tripura, West Bengal. A Bengali polymath who reshaped literature and music."
Monday,May 09,Parashurama Jayanti,"Haryana, Punjab, Uttar Pradesh only"
Monday,May 16,Public Holiday,Kerala only. Allow voting in Assembly elections
Saturday,May 21,Buddha Purnima,Birth of Buddha
Wednesday,May 25,Birthday of Kazi Nazrul Islam,Tripura only.
Tuesday,June 07,Maharana Pratap Jayanti,"Haryana, Himachal Pradesh only"
Wednesday,June 08,Guru Arjun Dev Martyrdom day,Punjab Only
Tuesday,June 14,Pahili Raja,Odisha
Wednesday,June 15,Raja Sankranti,Odisha only
